name,pitcher_hr9,flyball_rate,hr_allowed_vs_R,hr_allowed_vs_L,flyball_vs_R,flyball_vs_L,p_throws
Gerrit Cole,1.5,0.6667,0.3333,0.0,0.6667,0.35,R
Zack Wheeler,1.0,0.35,0.0,0.0,0.35,0.35,R
Max Fried,0.0709,0.266,0.0108,0.0,0.2537,0.2963,L
Chris Sale,0.3913,0.3158,0.0562,0.0,0.3729,0.1176,L
Corbin Burnes,1.0,0.35,0.0,0.0,0.35,0.35,R
Pablo Lopez,1.0,0.35,0.0,0.0,0.35,0.35,R
Logan Webb,0.1364,0.1413,0.0,0.027,0.1282,0.1509,R
Framber Valdez,0.0709,0.2268,0.0098,0.0,0.2436,0.1579,L
Tarik Skubal,0.0763,0.2564,0.0,0.0476,0.2812,0.1429,L
Zac Gallen,0.1636,0.2584,0.0385,0.0,0.2564,0.26,R
Tyler Glasnow,0.2368,0.2388,0.0435,0.0147,0.1852,0.275,R
Blake Snell,1.0,0.35,0.0,0.0,0.35,0.35,L
Yoshinobu Yamamoto,0.2842,0.3286,0.0256,0.0357,0.2857,0.3571,R
Shane Bieber,1.0,0.35,0.0,0.0,0.35,0.35,R
Kevin Gausman,0.1593,0.1528,0.0192,0.0164,0.0606,0.2308,R
Jose Berrios,1.0,0.35,0.0,0.0,0.35,0.35,R
George Kirby,0.2791,0.2366,0.0492,0.0147,0.1957,0.2766,R
Luis Castillo,0.0826,0.1948,0.0,0.0233,0.0889,0.3438,R
Logan Gilbert,0.2348,0.2597,0.0208,0.0299,0.2162,0.3,R
Bryce Miller,1.0,0.35,0.0,0.0,0.35,0.35,R
Grayson Rodriguez,1.0,0.35,0.0,0.0,0.35,0.35,R
Kyle Bradish,0.1304,0.1978,0.0227,0.0106,0.2059,0.193,R
Corbin Burnes,1.0,0.35,0.0,0.0,0.35,0.35,R
Zach Eflin,0.5294,0.25,0.1429,0.0,0.25,0.25,R
Cole Ragans,0.587,0.3846,0.0357,0.1111,0.3438,0.45,L
Seth Lugo,0.0662,0.2857,0.0,0.0116,0.3684,0.2264,R
Jordan Montgomery,1.0,0.35,0.0,0.0,0.35,0.35,L
Merrill Kelly,0.75,0.4615,0.0,0.12,0.4444,0.4706,R
Eduardo Rodriguez,0.1875,0.274,0.0274,0.0,0.3158,0.125,L
Joe Ryan,0.0841,0.3099,0.0,0.0185,0.3871,0.25,R
Bailey Ober,0.2,0.2842,0.0128,0.0351,0.1923,0.3953,R
Sonny Gray,0.2975,0.1957,0.0469,0.0175,0.1875,0.2045,R
Miles Mikolas,0.551,0.3151,0.08,0.0417,0.35,0.2727,R
Shota Imanaga,1.0,0.35,0.0,0.0,0.35,0.35,L
Justin Steele,1.0,0.35,0.0,0.0,0.35,0.35,L
Jameson Taillon,0.5684,0.3438,0.0408,0.087,0.2647,0.4333,R
Hunter Greene,1.0,0.35,0.0,0.0,0.35,0.35,R
Nick Lodolo,4.5,1.0,1.0,0.0,1.0,0.35,L
Andrew Abbott,0.1579,0.1591,0.0111,0.0417,0.1831,0.0588,L
Freddy Peralta,0.3214,0.3194,0.0,0.0597,0.3214,0.3182,R
Colin Rea,0.1856,0.2394,0.0256,0.0172,0.2963,0.2045,R
Jared Jones,1.0,0.35,0.0,0.0,0.35,0.35,R
Mitch Keller,0.0692,0.2,0.0,0.0135,0.2162,0.1897,R
Paul Skenes,0.2045,0.2182,0.027,0.0196,0.2727,0.1818,R
MacKenzie Gore,0.3689,0.2535,0.0426,0.0357,0.2727,0.1875,L
