name,player_hr_rate,barrel_rate,recent_hr_rate,recent_barrel_rate,hr_vs_R,hr_vs_L,barrel_vs_R,barrel_vs_L,recent_hr_rate_vs_R,recent_hr_rate_vs_L,recent_barrel_rate_vs_R,recent_barrel_rate_vs_L,stand,team
Aaron Judge,0.0826,0.1032,0.1034,0.1343,0.058,0.125,0.0824,0.1463,0.0968,0.1111,0.1136,0.1739,R,New York Yankees
Shohei Ohtani,0.0417,0.0882,0.0357,0.0769,0.0341,0.0625,0.1031,0.0513,0.0444,0.0,0.1,0.0,L,Los Angeles Dodgers
Juan Soto,0.0213,0.0678,0.0,0.125,0.0,0.0556,0.0606,0.0769,0.0,0.0,0.1,0.1667,L,New York Yankees
Kyle Schwarber,0.069,0.0703,0.0862,0.0685,0.1111,0.0189,0.1061,0.0323,0.1429,0.0333,0.1379,0.0227,L,Philadelphia Phillies
Bryce Harper,0.0545,0.0857,0.0741,0.0735,0.0492,0.0612,0.0986,0.0725,0.0714,0.0769,0.0938,0.0556,L,Philadelphia Phillies
Mookie Betts,0.0625,0.0571,0.0,0.0,0.0769,0.0,0.08,0.0,0.0,0.0,0.0,0.0,R,Los Angeles Dodgers
Matt Olson,0.0574,0.0893,0.05,0.0824,0.0649,0.0444,0.1083,0.0417,0.0556,0.0417,0.0862,0.0741,L,Atlanta Braves
Pete Alonso,0.0261,0.0441,0.0345,0.0455,0.0333,0.0,0.0476,0.0323,0.0455,0.0,0.0426,0.0526,R,New York Mets
Yordan Alvarez,0.0909,0.12,0.1017,0.125,0.0741,0.125,0.134,0.0943,0.0889,0.1429,0.1481,0.0769,L,Houston Astros
Fernando Tatis Jr.,0.0,0.0484,0.0,0.0357,0.0,0.0,0.0561,0.0,0.0,0.0,0.0364,0.0,R,San Diego Padres
Ronald Acuna Jr.,0.0163,0.0563,0.0167,0.0233,0.0233,0.0,0.0631,0.0408,0.0238,0.0,0.0161,0.0417,R,Atlanta Braves
Freddie Freeman,0.0286,0.0671,0.0,0.0548,0.0253,0.0385,0.0833,0.0227,0.0,0.0,0.0727,0.0,L,Los Angeles Dodgers
Corey Seager,0.0556,0.063,0.0385,0.0448,0.075,0.0,0.0842,0.0,0.05,0.0,0.0625,0.0,L,Texas Rangers
Gunnar Henderson,0.0645,0.0545,0.0476,0.0341,0.0625,0.0714,0.0538,0.0571,0.0638,0.0,0.0455,0.0,L,Baltimore Orioles
Bobby Witt Jr.,0.0,0.0268,0.0,0.0317,0.0,0.0,0.027,0.0263,0.0,0.0,0.0435,0.0,R,Kansas City Royals
Julio Rodriguez,0.0086,0.0203,0.0182,0.0256,0.0,0.0357,0.0171,0.0323,0.0,0.1429,0.0149,0.0909,R,Seattle Mariners
Vladimir Guerrero Jr.,0.0187,0.029,0.0196,0.0154,0.0,0.1,0.0,0.16,0.0,0.1667,0.0,0.2,R,Toronto Blue Jays
Austin Riley,0.0259,0.0548,0.0508,0.0779,0.0263,0.025,0.0417,0.08,0.0541,0.0455,0.06,0.1111,R,Atlanta Braves
Rafael Devers,0.019,0.0325,0.0,0.0377,0.0143,0.0286,0.026,0.0435,0.0,0.0,0.027,0.0625,L,Boston Red Sox
Jose Ramirez,0.0508,0.0722,0.0862,0.0741,0.0238,0.1176,0.0538,0.12,0.05,0.1667,0.05,0.1429,S,Cleveland Guardians
Francisco Lindor,0.019,0.0483,0.0513,0.0517,0.026,0.0,0.0536,0.0303,0.069,0.0,0.0698,0.0,S,New York Mets
Adolis Garcia,0.0291,0.0379,0.02,0.0469,0.0278,0.0323,0.0233,0.0652,0.0,0.0476,0.0,0.0938,R,Texas Rangers
