name,mlbam_id,p_throws
Gerrit Cole,543037,R
Zack Wheeler,554430,R
Max Fried,608331,L
Chris Sale,519242,L
Corbin Burnes,669203,R
Pablo Lopez,641154,R
Logan Webb,657277,R
Framber Valdez,664285,L
Tarik Skubal,669373,L
Zac Gallen,668678,R
Tyler Glasnow,607192,R
Blake Snell,605483,L
Yoshinobu Yamamoto,808967,R
Shane Bieber,669456,R
Kevin Gausman,592332,R
Jose Berrios,621244,R
George Kirby,669923,R
Luis Castillo,622491,R
Logan Gilbert,669302,R
Bryce Miller,682243,R
Grayson Rodriguez,680570,R
Kyle Bradish,680694,R
Zach Eflin,621107,R
Cole Ragans,666142,L
Seth Lugo,607625,R
Jordan Montgomery,656756,L
Merrill Kelly,518876,R
Eduardo Rodriguez,593958,L
Joe Ryan,657746,R
Bailey Ober,641927,R
Sonny Gray,543243,R
Miles Mikolas,571945,R
Shota Imanaga,808344,L
Justin Steele,657006,L
Jameson Taillon,592791,R
Hunter Greene,668881,R
Nick Lodolo,666157,L
Andrew Abbott,671096,L
Freddy Peralta,642547,R
Colin Rea,607067,R
Jared Jones,683003,R
Mitch Keller,656605,R
Paul Skenes,694973,R
MacKenzie Gore,669022,L
Josiah Gray,680686,R
Cristopher Sanchez,650911,L
Ranger Suarez,624133,L
Aaron Nola,605400,R
Jose Quintana,500779,L
Kodai Senga,673540,R
Luis Severino,622663,R
Sean Manaea,640455,L
Chris Bassitt,605135,R
Yusei Kikuchi,579328,L
Nathan Eovaldi,543135,R
Dane Dunning,641540,R
Jon Gray,592351,R
Hunter Brown,686613,R
Cristian Javier,664299,R
Spencer Arrighetti,695879,R
Reid Detmers,672282,L
Patrick Sandoval,663776,L
Jose Soriano,667755,R
Kyle Harrison,690986,L
Jordan Hicks,663855,R
Logan Allen,671106,L
Tanner Bibee,676440,R
Ben Lively,594902,R
Sandy Alcantara,645261,R
Jesus Luzardo,666200,L
Braxton Garrett,666159,L
Joe Musgrove,605397,R
Yu Darvish,506433,R
Michael King,650633,R
Dylan Cease,656302,R
Kutter Crawford,676710,R
Brayan Bello,678394,R
Nick Pivetta,601713,R
Charlie Morton,450203,R
Spencer Strider,675911,R
Reynaldo Lopez,625643,R
Luis Gil,661563,R
Nestor Cortes,641482,L
Carlos Rodon,607074,L
Clarke Schmidt,657376,R
Mason Miller,695243,R
JP Sears,676664,L
Paul Blackburn,621112,R
Bailey Falter,663559,L
Martín Pérez,527048,L
Trevor Rogers,669432,L
Edward Cabrera,665432,R
Cal Quantrill,615698,R
Austin Gomber,596295,L
Kyle Freeland,607536,L
Jose Urena,570632,R
Andrew Painter,691725,R
Ryan Weiss,680802,R
Parker Messick,800048,L
Chase Burns,695505,R
Steven Matz,571927,L
Dustin May,669160,R
Chris Paddack,663978,R
Keider Montero,672456,R
Connelly Early,813349,L
Landen Roupp,694738,R
Jacob Lopez,682052,L
Jack Kochanowicz,686799,R
Patrick Corbin,571578,L
Foster Griffin,656492,L
Simeon Woods Richardson,680573,R
Nolan McLean,690997,R
Shane Baz,669358,R
Kris Bubic,663460,L
Carmen Mlodzinski,669387,R
Kumar Rocker,677958,R
Randy Vásquez,681190,R
Sean Burke,680732,R
Bryce Elder,693821,R
Michael Wacha,608379,R
Michael Soroka,647336,R
Gavin Willaims,668909,R
Kyle Leahy,681517,R
Janson Junk,676083,R
Peter Lambert,663567,R
Brandon Williamson,682227,L
Nick Martinez,607259,R
Eric Lauer,641778,L
Aaron Civale,650644,R
Chad Patrick,694477,R
Casey Mize,663554,R
Zack Littell,641793,R
Clay Holmes,605280,R
Matthew Boyd,571510,L
Braxton Ashcraft,677952,R
Jack Leiter,683004,R
Walker Buehler,621111,R
Tomoyuki Sugano,608372,R
Anthony Kay,641743,L
Shohei Ohtani,660271,R
Tyler Mahle,641816,R
DL Hall,669084,L
Didier Fuentes,800311,R
Connor Prielipp,687570,L
Kyle Backhus,679775,L
Cade Cavalli,676917,R
Brandon Sproat,687075,R
Edward Cabrera,665795,R
Matt Waldron,663362,R
Davis Martin,663436,R
Cam Schlittler,693645,R
Christian Scott,681035,R
Bubba Chandler,696149,R
Jacob deGrom,594798,R
JR Ritchie,702275,R
Ryan Feltner,663372,R
Payton Tolle,801139,L
Max Scherzer,453286,R
Drew Rasmussen,656876,R
Grant Holmes,656550,R
Noah Cameron,702070,L
Erick Fedde,607200,R
Brandon Woodruff,605540,R
Will Warren,701542,R
Lance McCullers Jr.,621121,R
Andre Pallante,669467,R
Michael Lorenzen,547179,R
Emmet Sheehan,686218,R
Adrian Houser,605288,R
Brandon Young,687064,R
Taj Bradley,671737,R
Bryan Hudson,663542,L
Bryan Woo,693433,R
Matthew Liberatore,669461,L
Joey Cantillo,676282,L
Garrett Crochet,676979,L
Eury Pérez,691587,R
Robbie Ray,592662,L
Shane McClanahan,663556,L
Jake Irvin,663623,R
Noah Schultz,702273,L
Germán Márquez,608566,R
Jeffrey Springs,605488,L
Walbert Urena,700712,R
Ryan Weathers,677960,L
Mike Burrows,681347,R
Jacob Misiorowski,694819,R
Jack Flaherty,656427,R
Brady Singer,663903,R
Roki Sasaki,808963,R
PJ Poulin,676571,L
Slade Cecconi,677944,R
Rhett Lowder,695076,R
Jesse Scholtens,669947,R
Spencer Arrighetti,681293,R
Emerson Hancock,676106,R
Michael McGreevy,700241,R
J.T. Ginn,669372,R
Ryne Nelson,669194,R
Max Meyer,676974,R
Shota Imanaga,684007,L
Justin Wrobleski,680736,L
